Sr._No.,KYC_Attributes,Name,Surname,Father_Name,Mother_Name,Spouse_Name,Date_of_Birth,Gender,Blood_Group,Home_Address,Office_Address,Communication_Address,PAN_no,Aadhar_no,Passport_no,BankAcDetails,CreditCard,Mobile_No,Email_Id,Nationality,Voter_Card_ID,DL,year_of_Birth,Age
1,Aadhar,Indira Gagan,,Gagan Dvivedi,Lavanya Dvivedi,,1980-07-18,Female,,F 151  Main Road  Near Ambedkar Gate  Jagat Puri  Bulandshahar 203001 Uttar Pradesh,,"F-151, Main Road, Near Ambedkar Gate, Jagat Puri, Bulandshahar-203001,Uttar Pradesh",0,545561778899,0,0,,1122503163,igl@gmail.com,Indian,,,1980,41
2,Aadhar,Indrani R C Singh,,Ranjit Sanyal,Chambeli Sanyal,,1998-02-21,Female,,15/16 mgrdrdblr 1  Mg Road   Adilabad 504296 Andhra Pradesh,,"15/16 mgrdrdblr-1, Mg Road,  Adilabad,504296,Andhra Pradesh",0,367711445522,0,0,,3636584415,ircs@gmail.com,Indian,,,1998,23
3,Aadhar,Miss Rakhi Rakesh Yadav,,Bhima Yadav,,Rakesh Yadav,1980-04-22,Female,,House No  11  East Parsigutta  Hyderabad 500021 Andhra Pradesh,,"House No. 11, East Parsigutta, Hyderabad 500021 Andhra Pradesh",UKDWD3214W,117722554424,J4582147,0,,0,,Indian,,,1980,41
4,Aadhar,Aditya Inika Hora,,Aditya Sawhney,Riya Sawhney,,1976-12-21,Female,,88  Hinjewadi  Vadadara   300018  Gujarat,,"88, Hinjewadi, Vadadara - 300018, Gujarat",0,556766442233,0,0,,7894789547,aih@gmail.com,Indian,,,1976,45
5,Aadhar,Iqbal Anis R Mistry,,Anis Mistry,Raziya,Riya,1977-12-20,Male,,1 7 659/26/1  Opp luna High School  Raopura  Meerut 250001 UttarPradesh,,"1-7-659/26/1, Opp.luna High School, Raopura, Meerut-250001-UttarPradesh",0,0,0,0,,2431321442,iarm@gmail.com,Indian,,,1977,44
6,Aadhar,Ishaan S D Bora,,Shiv Bora,,,1980-01-22,Male,,A 5  578  Jitendra Jame  J J Road  Belgaum 590001  Karnataka,,"A-5, 578, Jitendra Jame, J J Road, Belgaum,590001, Karnataka",0,0,0,0,,9874561410,isds@gmail.com,Indian,,,1980,41
7,Aadhar,Jaswant KN Gola,,Kuljeet,Navjot,,1981-07-18,Male,,62 &63  Cp Ramasamy Road  Alwarpet  Chittorgarh  312001  Rajasthan,,"62 &63, Cp Ramasamy Road, Alwarpet, Chittorgarh ,312001, Rajasthan",0,0,0,0,,6365523228,jkng@gmail.com,Indian,,,1981,40
8,Aadhar,Javed Iqbal Zareen Bahri,,Iqbal,Zareen,,1981-08-31,Male,,4  Jeevanprem  Panchpakhadi  Hapur 245101 UttarPradesh,,"4, Jeevanprem, Panchpakhadi, Hapur-245101,UttarPradesh",0,137138139145,0,0,,75330741028,jizb@gmail.com,Indian,,,1981,40
9,Aadhar,K D Jayendra Lad,,Karthik Lad,Darika Lad,Jayashri Lad,1979-11-21,Male,,701 Jupiter Bldg  Hiranandani(c)  A 4th Cross Lane  Lokhandwala  Andheri (west) Mumbai 400053  Maharashtra,,"701 Jupiter Bldg, Hiranandani(c), A 4th Cross Lane, Lokhandwala, Andheri (west) Mumbai 400053, Maharashtra",0,0,0,0,,5555666629,kdj@yahoo.com,Indian,,,1979,42
10,Aadhar,Jayesh VighneshDyal,,Vighnesh Dyal,Dipti Dyal,Jaya Dyal,1987-08-31,Male,,Flat No 304 3rd Floor St No 10  D V Arcade Main Road  Nainital 263001 Uttarakhand,,"Flat No 304 3rd Floor St No 10, D V Arcade Main Road, Nainital-263001,Uttarakhand",0,889998778688,0,0,,7854212327,djvd@gmail.com,Indian,,,1987,34
