Sr._No.,KYC_Attributes,Surname,Name,Father_Name,Mother_Name,Spouse_Name,Date_of_Birth,Gender,Blood_Group,Home_Address,Office_Address,Communication_Address,PAN_no,Aadhar_no,Passport_no,BankAcDetails,CreditCard,Mobile_No,Email_Id,Nationality,Voter_Card_ID,DL,year_of_Birth,Age
1,Airline,,Aaloak Sunder,Rakesh  Sunder,,,1980-10-21,Male,,19  Hrishikesh Society  RadhaPor  Gaya   823001  Bihar,,"19, Hrishikesh Society, RadhaPur, Gaya - 823001, Bihar",AASRC6045A,0,J4213565,0,1232456178954890.0,0,,Indian,,,1980,41
2,Airline,,A Basak,Tarun Basak,Sharvari Bask,,1985-09-02,Male,,97  Radhika Nagar  Rajkot   307271  Gujarat,,"97, Radhika Nagar, Rajkot - 307271, Gujrat",AVGTK0142Q,0,J2188235,0,4521362478946320.0,0,,Indian,,,1985,36
3,Airline,,AP Agarwal,Poorav Agarwal,Rani Agarwal,Subi Agarwal,1977-08-01,Male,,Abids  Tilak Road  Tilak Nagar 411002  Pune,,"Abids, Tilak Road, Tilak Nagar,411002, Pune",GDGKP2243V,0,0,0,,0,,Indian,,,1977,44
4,Airline,,Alisha Jai A Purohit,Jai Patnaik,Aruna Patnaik,Ankit Purohit,1982-10-02,Female,,Sai Vandan Apt Nr Lokmanya Bus Depot  Sanjay Nagar GZB  201001 UP,,"Sai Vandan Apt Nr Lokmanya Bus Depot, Sanjay Nagar GZB, 201001,UP",0,0,0,0,,9865742124,,Indian,,,1982,39
5,Airline,,Amar Rubi A Gurnani,Ajay,Rubi,Sukanya,1984-06-15,Male,,GS Rd  Ganeshguri Chariali  Nr Beekay Tower   Cachar   788014  Assam,,"GS Rd, Ganeshguri Chariali, Nr Beekay Tower,  Cachar - 788014, Assam",0,0,0,0,,6054785945,,Indian,,,1984,37
6,Airline,,Amritaa Ranganathan,,Lakshmi Iyer,Arindam Ranganathan,1984-03-05,Female,,16  Uttaradimuttrd nrnationalcllge  Basavanagudi   Alappuzha 690513  Kerala,,"16, Uttaradimutrd,nrnationalcllge, Basavanagudi,  Alappuzha 690513, Kerala",0,0,0,0,,0,,Indian,,,1984,37
7,Airline,,Anand Lakhan S Singh,Lakhan,,Lata Singh,1996-01-07,Male,,1st Floor  18 A  Patel Shopping Center  Janakpuri West  Delhi  110058  Delhi,,"1st Floor, 18 A, Patel Shopping Center, Janakpuri West, Delhi, 110058, Delhi",0,755544332215,0,0,,2447621042,,Indian,,,1996,25
8,Airline,,Malati Brahmbhatta,Mayur Gavhane,Padma Gavhane,Mahesh Brahmbhatta,1984-04-13,Female,,12  Malti Mahesh Niwas  Mc Road  Thirunakkara  Kottayam 686001  Kerala,,"12, Malti-Mahesh Niwas, Mc Road, Thirunakkara, Kottayam 686001, Kerala",AQULT9785B,151416171918,0,0,,99000 00030,,Indian,,,1984,37
9,Airline,,Manjusha Patel,Rajesh Patel,Revti patel,Madhusudan Patel,1975-12-20,Female,,80/10  Subramaniam Complex   Coimbatore  641029  Tamil Nadu,,"80/10, Subramaniam Complex,  Coimbatore, 641029, Tamil Nadu",AJNKP5060L,555666777888,0,0,,0,,,,,1975,46
10,Airline,,Manoj Kalra,Arjun Kalra,Akshara Kalra,Alia Kalra,1991-10-25,Male,,31  Anand Indl Estate  M S Road  Wagle Estate  Thane(w)  Mumbai  400604  Maharashtra,,"31, Anand Indl Estate, M S Road, Wagle Estate, Thane(w), Mumbai, 400604, Maharashtra",SKGBC7532D,0,0,0,,0,,Indian,,,1991,30
