Sr._No.,KYC_Attributes,Surname,Name,Father_Name,Mother_Name,Spouse_Name,Date_of_Birth,Gender,Blood_Group,Home_Address,Office_Address,Communication_Address,PAN_no,Aadhar_no,Passport_no,BankAcDetails,CreditCard,Mobile_No,Email_Id,Nationality,Voter_Card_ID,DL,year_of_Birth,Age
1,Bank KYC,,Indira GL Dvivedi,Gagan Dvivedi,,,1980-07-18,Female,,F 151  Main Road Opp Ambedkar Gate  Jagat Puri  TP Nagar 208023 Kanpur Uttar Pradesh,,"F-151, Main Road,Opp Ambedkar Gate, Jagat Puri, TP Nagar-208023,Kanpur,Uttar Pradesh",NADGE4321F,445567768899,0,0,,2122503163,idg@gmail.com,Indian,,,1980,41
2,Bank KYC,,Singh Indrani Ranjit,Ranjit Sanyal,,,1998-02-21,Female,,15/16mgrdrdblr 1  Mg Road  Shivpuri Link Road Gwalior 474001 Madhya Pradesh,,"15/16mgrdrdblr-1, Mg Road, Shivpuri Link Road Gwalior-474001,Madhya Pradesh",GJKTP4546O,0,0,784512215487,,9625584015,sir@gmail.com,Indian,,,1998,23
3,Bank KYC,,Yadav Rakhi Rahul,,Nehal Yadav,,1990-09-21,Female,,67  Btm Layout  Bangalore,,"67, Btm Layout, Bangalore",UKGWD3111Q,117722554426,0,51610110003338,,6239239229,rakhi@gmail.com,Indian,,,1990,31
4,Bank KYC,,Inika AR Hora,Aditya Sawhney,Riya Sawhney,Ramesh Hora,1976-12-21,Female,,88  Hinjewadi  Dahod   389151  Gujarat,,"88, Hinjewadi, Dahod - 389151, Gujarat",BORDK1324G,557666442253,0,1472587369833,,8965896589,iar@gmail.com,Indian,,,1976,45
5,Bank KYC,,Iqbal Anes Mistry,,,,1977-12-20,Male,,1 7 659/26/1  Opp luna High School  Raopura  Hapur 245101 UttarPradesh,,"1-7-659/26/1, Opp.luna High School, Raopura, Hapur-245101-UttarPradesh",LPKIU2232H,0,0,35775335775345,,2413321442,iqa@gmail.com,Indian,,,1977,44
6,Bank KYC,,Ishaan Shiv Bora,Shiv Bora,Disha Bora,Radhika Bora,1980-01-22,Male,,A 5  578  Jitendra Jame  J J Road  Bidar 585401 Karnataka,,"A-5, 578, Jitendra Jame, J J Road, Bidar,585401 Karnataka",ALPNB3316G,0,0,42575742542118,,9874561499,iss@gmail.com,Indian,,,1980,41
7,Bank KYC,,Jaswant Kuljit Gola,Kuljeet,Navjot,Namrata Gola,1981-07-18,Male,,62 &63  Cp Ramasamy Road  Alwarpet  Bundi  323001  Rajasthan,,"62 &63, Cp Ramasamy Road, Alwarpet, Bundi ,323001, Rajasthan",BDAGA2728V,0,0,5768865759596830,,6365523227,jkg@gmail.com,Indian,,,1981,40
8,Bank KYC,,Bahri Javed Iqbal,Iqbal,Zareen,Jasmin,1981-08-31,Male,,4  Jeevanprem  Panchpakhadi  Ghaziabad 110003 UttarPradesh,,"4, Jeevanprem, Panchpakhadi, Ghaziabad,110003,UttarPradesh",IOPUY8888F,0,0,90008520741002,,75330741029,bji@gmail.com,Indian,,,1981,40
9,Bank KYC,,Karthik Jayendra Lad,Karthik Lad,Darika Lad,Jayashri Lad,1979-11-21,Male,,701 Jupiter Bldg  Hiranandani(c)  A 4th Cross Lane Antop Hill S O Mumbai 400037  Maharashtra,,"701 Jupiter Bldg, Hiranandani(c), A 4th Cross Lane,Antop Hill S.O,Mumbai 400037, Maharashtra",ABSCR3214Q,0,0,0,,5555666630,kjl@gmail.com,Indian,,,1979,42
10,Bank KYC,,Vighnesh Jayesh Dyal,Vighnesh Dyal,Dipti Dyal,Jaya Dyal,1987-08-31,Male,,Flat No 304 3rd Floor St No 10  D V Arcade Main Road  Bharatpur 321001 Rajasthan,,"Flat No 304 3rd Floor St No 10, D V Arcade Main Road, Bharatpur-321001,Rajasthan",JKPBA9968V,0,0,3214569872,,7854212328,vjd@gmail.com,Indian,,,1987,34
11,Bank KYC,,Chadda Jwala ,Jaikishan,Jaya,Vishal,1989-06-25,Female,,Flat No  144  Sejal Arcade   Jodhpur 112001 Rajasthan,,"Flat No. 144, Sejal Arcade,  Jodhpur,112001,Rajasthan",CBCBA7542E,0,0,3111012320130120,,7534410714,cj@gmail.com,Indian,,,1989,32
12,Bank KYC,,Dewan Kajol Rahul,Rahul Gaykwad,Aahana  Gayakwad,HariOm Dewan,1984-08-15,Female,,A 11  Naraina Indl Area  S Vivekanand Rd  Goregaon  (E)Mumbai  400060,,"A 11, Naraina Indl Area, S Vivekanand Rd, Goregaon, (E)Mumbai, 400060",CDRKH1244F,665544332201,0,1260258036901470,,5785475886,dkr@gmail.com,Indian,,,1984,37
13,Bank KYC,,Chadha Kalini Krishna,Krishna Bose,Urmi Bose,Tushar Chadha,1982-09-08,Female,,87  Kharadi  Agra   223007  Uttar Pradesh,,"87, Kharadi, Agra - 223007, Uttar Pradesh",ALGBN3136G,445511123346,0,22455421147222,,7896544781,ckk@gmail.com,Indian,,,1982,39
14,Bank KYC,,Kalyani Pratyush K Tata,Pratyush Murthy,Kirtida Murthy,Kalyan Tata,1979-01-19,Female,,Rto Main Road  Opp  Jhulelal Mandir  Varasia  Rajkot  360001  Gujarat,,"Rto Main Road, Opp. Jhulelal Mandir, Varasia, Rajkot, 360001, Gujarat",CLGKP4546O,0,0,54445421147232,,8520025884,kpk@gmail.com,Indian,,,1979,42
15,Bank KYC,,Devdhar Kirti Amrit Prakash,Amrit Devdhar,Sukanya Devdhar,Bhima Prakash,1981-08-31,Female,,127  A  Har Indl Est  Sun Mill Road  Nainital  263002 Uttarakhand,,"127, A, Har Indl Est, Sun Mill Road, Nainital, 263002,Uttarakhand",UTYRE6676E,886655711438,0,22433321147232,,6178945248,dkap@gmail.com,Indian,,,1981,40
16,Bank KYC,,Desai Lakshmi BM ,Bijoya Kabra,Muktai Kabra,Jaydev Desai,1980-01-10,Female,,95  Alaknanda Villas  PreshitaGarh Indor 452001 Madhya pradesh,,"95, Alaknanda Villas, PreshitaGarh,Indor,452001,Madhya pradesh",BCNER7894N,0,0,444455221414,,5644778879,dlbm@gmail.com,Indian,,,1980,41
17,Bank KYC,,Dutt Lalita Bhima Richa,Bhima Sanyal,Richa Sanyal,Navin Dutt,1979-09-07,Female,,Jn2/5/a 2  Sector 10  Chickpet  Meerut 250002 UttarPradesh,,"Jn2/5/a-2, Sector 10, Chickpet, Meerut,250002,UttarPradesh",ALOBP3336G,445511223364,0,403924756246,,8878797881,dlbr@gmail.com,Indian,,,1979,42
18,Bank KYC,,Dugal Lina Raman Varsha,Raman Dhingra,Varsha Dhingra,Ramesh Dugal,1987-11-11,Female,,10  Virar  Niwari   472442  Madhya Pradesh,,"10, Virar, Niwari - 472442, Madhya Pradesh",CEPDE4513F,201020406064,0,611924756247,,6242577887,dlrv@gmail.com,Indian,,,1987,34
19,Bank KYC,,Mathur Akash Kamlesh,Kamlesh Mathur,Renu Mathur,Kavita Mathur,1989-11-12,Male,,17/18  Vihar  Rajnagar  Agra 282002 Uttar Pradesh,,"17/18, Vihar, Rajnagar, Agra,282002,Uttar Pradesh",CEPED2146A,0,0,201425541226,,4758699687,mak@gmail.com,Indian,,,1989,32
20,Bank KYC,,Rao Arun Jitendra Kavita ,Jitendra Rao,Kavita Rao,Rani Rao,1985-12-22,Male,,Flat No 12 Sarita Vihar Vidish 464001 Madhya Pradesh,,"Flat No 12,Sarita Vihar,Vidish,464001 Madhya Pradesh",BYKPQ7013C,0,0,427755886629,,2222144153,rajk@gmail.com,Indian,,,1985,36
21,Bank KYC,,Amar Rajendra Singh,Rajendra Singh,Kavita Singh,Suman Singh,1975-11-22,Male,,H NO 11/1 Radha Nagar Datiya Madhya Pradesh,,"C/o Ganga Ram Ex MLA H NO 11/1 Radha Nagar Bulandshahar,203001,Uttar Pradesh ",DEPDE2255G,321020405143,0,963085207414,,7755331146,ars@gmail.com,Indian,,,1975,46
22,Bank KYC,,Yadav Seema Rampal ,Rampal Yadav,Renu Yadav,Sita Yadav,1979-09-23,Female,,Plot No 25 Echelon Square  Sector 32 Lucknow 226002 Uttar Pradesh,,"Plot No.25,Echelon Square, Sector,32 Lucknow,226002,Uttar Pradesh",YBRQP4015D,0,0,24242323252528,,63655225235,ysr@gmail.com,Indian,,,1979,42
23,Bank KYC,,Umardas Arun Suman,Umardas Dinkar,Jaidevi Dinkar,Bhagayshree,1984-03-20,Male,,H NO 1111  Leelawati  Patoriya Hamirpur 210301 Uttar Pradesh,,"H NO 1111, Leelawati, Patoriya,Hamirpur,210301,Uttar Pradesh",BNTQP4337C,0,0,47144224455645,,7245877882,uas@gmail.com,Indian,,,1984,37
24,Bank KYC,,Panday Neha Rajeev Seema ,Rajeev Panday,Seema Panday,Radhika Panday,1982-03-16,Female,,S N 18/19 Lane No  3 Om Sai Ganesh Nagar Ratnagiri 415612 Maharashatra,,"S.N.18/19 Lane No  3 Om Sai Ganesh Nagar Ratnagiri,415612,Maharashatra",CABDE1472T,0,0,68698556699875,,8274858524,pnrs@gmail.com,Indian,,,1982,39
25,Bank KYC,,Sharma Ranveer,Arun Sharma,Vinita Sharma,Tina Sharma,1991-10-10,Male,,Flat No  105  Aalok Apartment  Kottayam  686001 Kerala,,"Flat No. 105, Aalok Apartment, Kottayam, 686001,Kerala",GSNPH4275R,0,0,72122332211014,,6352422426,sr@gmail.com,Indian,,,1991,30
26,Bank KYC,,Gangwar Rajesh SR ,Santosh Gangwar,RIta Gangwar,Vaani Gangwar,1986-02-12,Male,,Flat No 17  Lal kuna  Ghaziabad 201002 Uttar Pradesh,,"Flat No 17, Lal kuna, Ghaziabad,201002,Uttar Pradesh",WEJRT2698Y,0,0,481879966994,,4247586976,grsr@gmail.com,Indian,,,1986,35
