Sr._No.,KYC_Attributes,Surname,Name,Father_Name,Mother_Name,Spouse_Name,Date_of_Birth,Gender,Blood_Group,Home_Address,Office_Address,Communication_Address,PAN_no,Aadhar_no,Passport_no,BankAcDetails,CreditCard,Mobile_No,Email_Id,Nationality,Voter_Card_ID,DL,year_of_Birth,Age
1,Company KYC,,Gagan Indira Dvivedi ,Gagan Dvivedi,Lavanya Dvivedi,Ishwar D'Alia,1980-07-18,Female,O+,F 151  Main Road  Near Ambedkar Gate  Jagat Puri  BaljeetNagar Shadipur 110008  Delhi,"Nirman Bhawan, Rajpath Area, Central Secretariat, New Delhi, Delhi-110001","F-151, Main Road, Near Ambedkar Gate, Jagat Puri, BaljeetNagar Shadipur 110008, Delhi",EAGDE4321F,445566778989,0,44445555455447,,011-22503163,gid@gmail.com,Indian,,,1980,41
2,Company KYC,,Indrani Ranjit Chambeli Singh,Ranjit Sanyal,Chambeli Sanyal,Chatur Singh,1998-02-21,Female,B+,15/16mgrdrdblr 1  Mg Road  Metro Station Gurgaon Haryana 122002,"MG Road, Heritage City, Sector 25, Gurgaon, Haryana- 122002","15/16mgrdrdblr-1, Mg Road, Metro Station Gurgaon Haryana-122002",PTJKG4546O,257711445522,0,22233236252335,,7745585854,rsc@gmail.com,Indian,,,1998,23
3,Company KYC,,RakhiYadav,Bhima Yadav,Yadav Nehal ,Rakesh Yadav,1980-04-22,Female,B+,House No  11  East Parsigutta  Hyderabad 500021 Andhra Pradesh,"Cybercity, Hyderabad 500021,Andhra Pradesh","House No. 11, East Parsigutta, Hyderabad 500021 Andhra Pradesh",UKDWD4114R,117722554483,0,51610110003338,,6239239229,,Indian,,,1980,41
4,Company KYC,,Inika AR Hora,Aditya Sawhney,Riya Sawhney,Ramesh Hora,1976-12-21,Female,O+,88  Hinjewadi Ahmedabad   320008  Gujarat,"5th Floor,Unique Trade Centre, Sayaji Ganj, Vadodara-390020","88, Hinjewadi,Ahmedabad - 320008, Gujarat",OVRDK1324G,559666442233,0,1472587369834,,2365236523,airh@gmail.com,Indian,,,1976,45
5,Company KYC,,Iqbal Mistry,Anis Mistry,Raziya Mistry,Riya Mistry,1977-12-20,Male,B+,1 7 659/26/1  Opp luna High School  Raopura  Jhansi 284001 Uttar Pradesh,"Advant IT Park Sector 142,Noida,201305-Uttar Pradesh","1-7-659/26/1, Opp.luna High School, Raopura, Jhansi-284001-Uttar Pradesh",PLKIU2223H,109110111311,0,35775335775355,,2413321442,ima@gmail.com,Indian,,,1977,44
6,Company KYC,,Shiv Ishaan Bora,Shiv Bora,Disha Bora,Radhika Bora,1980-01-22,Male,AB+,A 5  578  Jitendra Jame  J J Road  Mandya 571401  Karnataka,"3rd Stage, Nanda Gokula Road, Gokulam, Mysuru, Karnataka-570002","A-5, 578, Jitendra Jame, J J Road, Mandya,571401, Karnataka",PALNB1336G,445511723366,0,42575742542119,,9874561478,sib@gmail.com,Indian,,,1980,41
7,Company KYC,,Jaswant Navjot Gola,Kuljeet,Navjot,Namrata Gola,1981-07-18,Male,O-,62 &63  Cp Ramasamy Road  Alwarpet  Ajmer  305001 Rajasthan,"IT Park Sitapura ,Jaipur-302022,Rajasthan","62 &63, Cp Ramasamy Road, Alwarpet, Ajmer, 305001,Rajasthan",BDGAA2782V,921130131133,0,6768865759596860,,6365523225,jng@gmail.com,Indian,,,1981,40
8,Company KYC,,Javed Iqbal Z Bahri,Iqbal,Zareen,Jasmin,1981-08-31,Male,O+,4  Jeevanprem  Panchpakhadi  Mauranipur 284204 UttarPradesh,"INFOSYS IT PARK Hinjewdi Phase 2,Pune-411057,Maharashtra","4, Jeevanprem, Panchpakhadi, Mauranipur,284204,UttarPradesh",POIYU7888C,137138139147,0,90008520741003,,7533074102,jiz@gmail.com,Indian,,,1981,40
9,Company KYC,,Jayendra Karthik Darika Lad,Karthik Lad,Darika Lad,Jayashri Lad,1979-11-21,Male,B+,701 Jupiter Bldg  Hiranandani(c)  A 4th Cross Lane  Borivali H O  Mumbai 400091  Maharashtra,"HP Inc Pritech Park-SEZ,Sarjapur,Marathalli Outer Road,562125,Bangalore,Karnataka","701 Jupiter Bldg, Hiranandani(c), A 4th Cross Lane, Borivali H.O, Mumbai 400091, Maharashtra",ABSRC3241D,123456899014,0,0,45712010211425.0,5555666628,jkdl@gmail.com,Indian,,,1979,42
10,Company KYC,,Jayesh Vighnesh Dipti Dyal,Vighnesh Dyal,Dipti Dyal,Jaya Dyal,1987-08-31,Male,B-,Flat No 304 3rd Floor St No 10  D V Arcade Main Road  Kanpur 208001 Uttarpradesh,"IIT,Roorkee,Haridwar Highway, Roorkee,247667,Uttarakhand","Flat No 304 3rd Floor St No 10, D V Arcade Main Road, Kanpur-208001,Uttarpradesh",JKPBA9960V,889998778628,0,3214569874,,7854212331,jvdd@gmail.com,Indian,,,1987,34
