Sr._No.,KYC_Attributes,Surname,Name,Father_Name,Mother_Name,Spouse_Name,Date_of_Birth,Gender,Blood_Group,Home_Address,Office_Address,Communication_Address,PAN_no,Aadhar_no,Passport_no,BankAcDetails,CreditCard,Mobile_No,Email_Id,Nationality,Voter_Card_ID,DL,year_of_Birth,Age
1,Driving License,,Dvivedi Indira,Gagan Dvivedi,,,1980-07-18,Female,,F 151  Main Road  Near Ambedkar Gate  Jagat Pori  Delhi  110051  Delhi,,"F-151, Main Road, Near Ambedkar Gate, Jagat Pori, Delhi, 110051, Delhi",0,0,0,0,,1122503136,,Indian,,,1980,41
2,Driving License,,Indrani Singh,Ranjit Sanyal,,,1998-02-21,Female,,15/16mgrdrdblr 1  Mg Road  Shillong Meghalaya 793003,,"15/16mgrdrdblr-1, Mg Road, Shillong Meghalaya-793003",0,0,0,0,,9645212325,,Indian,,,1998,23
3,Driving License,,Rakhee Yadav,,,,1985-08-23,Female,,Opp Railway  Nazirabad  Kaiserbagh   Lucknow   226013  Uttar Pradesh,,"Opp Railway, Nazirabad, Kaiserbagh,  Lucknow - 226013, Uttar Pradesh",0,117722554427,0,0,,0,,Indian,UP21-12131451,,1985,36
4,Driving License,,Inika Hora,Aditya Sawhney,,,1976-12-21,Female,,88  Hinjewadi  Valsad   396001  Gujarat,,"88, Hinjewadi, Valsad - 396001, Gujarat",0,0,0,0,,7569847589,,Indian,,,1976,45
5,Driving License,,Iqbal Mistry,Anis,,,1977-12-20,Male,,1 7 659/26/1  Opp luna High School  Raopura  Vadodara 390001  Gujarat,,"1-7-659/26/1, Opp.luna High School, Raopura, Vadodara 390001, Gujarat",0,0,0,0,,3413321442,,Indian,,,1977,44
6,Driving License,,Ishaan S Bora,Shiv Bora,,,1980-01-22,Male,,A 5  578  Jitendra Jame  J J Road  Udupi  574118  Karnataka,,"A-5, 578, Jitendra Jame, J J Road, Udupi, 574118, Karnataka",0,0,0,0,,9874561479,,Indian,,,1980,41
7,Driving License,,Jaswant Gola,Kuljeet,,,1981-07-18,Male,,62 &63  Cp Ramasamy Road  Alwarpet  Bikaner 334001 Rajasthan,,"62 &63, Cp Ramasamy Road, Alwarpet, Bikaner,334001,Rajasthan",0,0,0,0,,6365523226,,Indian,,,1981,40
8,Driving License,,Javed Bahri,Iqbal,,,1981-08-31,Male,,4  Jeevanprem  Panchpakhadi  Sitapur 261001 UttarPradesh,,"4, Jeevanprem, Panchpakhadi, Sitapur,261001,UttarPradesh",0,0,0,0,,75330741030,,Indian,,,1981,40
9,Driving License,,Jayendra Lad,Karthik Lad,,,1979-11-21,Male,,701 Jupiter Bldg  Hiranandani(c)  A 4th Cross Lane   Bandra (west) S O  Mumbai 400050  Maharashtra,,"701 Jupiter Bldg, Hiranandani(c), A 4th Cross Lane,  Bandra (west) S.O. Mumbai 400050, Maharashtra",0,0,0,0,,5555666631,,Indian,,,1979,42
10,Driving License,,Jayesh ,Vighnesh Dyal,Dipti Dyal,Jaya Dyal,1987-08-31,Male,,Flat No 304 3rd Floor St No 10  D V Arcade Main Road  Gurgaon 122001 Haryana,,"Flat No 304 3rd Floor St No 10, D V Arcade Main Road, Gurgaon-122001,Haryana",0,0,0,0,,7854212329,,Indian,,,1987,34
11,Driving License,,Jwala J Chadda,Jaikishan,Jaya,Vishal,1989-06-25,Female,,Flat No  144  Sejal Arcade   Ghaziabad 201001 Uttar Pradesh,,"Flat No. 144, Sejal Arcade,  Ghaziabad,201001,Uttar Pradesh",0,0,0,0,,7534410713,,Indian,,,1989,32
12,Driving License,,Dewan Kajol ,Rahul Gaykwad,Aahana  Gayakwad,,1984-08-15,Female,,A 11  Naraina Indl Area  S Vivekanand Rd  Borivali (E) Mumbai  400066,,"A 11, Naraina Indl Area, S Vivekanand Rd, Borivali,(E) Mumbai, 400066",0,0,0,0,,5785475888,,Indian,,,1984,37
13,Driving License,,Kalini Chadha,Krishna Bose,Urmi Bose,,1979-09-08,Female,,87  Kharadi  Sitapur   261001  Uttar Pradesh,,"87, Kharadi, Sitapur - 261001, Uttar Pradesh",0,415511123366,0,0,,7896544780,,Indian,,DL-0420110149,1979,42
