Sr._No.,KYC_Attributes,Surname,Name,Father_Name,Mother_Name,Spouse_Name,Date_of_Birth,Gender,Blood_Group,Home_Address,Office_Address,Communication_Address,PAN_no,Aadhar_no,Passport_no,BankAcDetails,CreditCard,Mobile_No,Email_Id,Nationality,Voter_Card_ID,DL,year_of_Birth,Age
1,NCRB,,Aalok Sunder,Rakesh  Sunder,Aarti Sunder,,1980-10-21,Male,,19  Hrishikesh Socity  RadhaPur Ranchi   296512  Jharkhand,,"19, Hrishikesh Socity, RadhaPur Ranchi - 296512, Jharkhand",0,0,0,0,,0,,Indian,,,1980,41
2,NCRB,,Aarav Basak,Arun Basak,Sharvari Basak,,1991-09-05,Male,,06  Radhika Nagar  Bharatpor  321001  Rajasthan,,"06, Radhika Nagar, Bharatpor -321001, Rajasthan",0,0,0,0,,9825232119,,Indian,,,1991,30
3,NCRB,,Abhay,Praan Agarwal,Nilam Agarwal,Abha Agarwal,1981-08-28,Male,AB+,Abids  Tilak Road  Hyderabad  500001  Andhra Pradesh,,"Abids, Tilak Road, Hyderabad, 500001, Andhra Pradesh",0,0,J3524788,0,,4024755226,Abhay@fakemail.com,Indian,,,1981,40
4,NCRB,,Alishaa Purohit,Jay Chaudhari,Aruna Chaudhari,,1979-10-20,Female,,Sai Vandan Apt Nr Lokmanya Bus Depot  Sanjay Nagar GZB  201001 UP,,"Sai Vandan Apt Nr Lokmanya Bus Deepot, Sanjay Nagar GZB, 201001,UP",0,0,0,0,,9865742224,,Indian,,,1979,42
5,NCRB,,Amar Rubi A Gurnani,Ajai,Rubi,Sukanya,1984-06-15,Male,,GS Rd  Ganeshguri Chariali  Near Beekay Tower   Cachar   788014  Assam,,"GS Rd, Ganeshguri Chariali, Nr Beekay Tower,  Cachar - 788014, Assam",0,0,0,0,,6054785948,,Indian,,,1984,37
6,NCRB,,Amrita LS Ranganathan,Sivakumar Iyer,Lakshmi Iyer,Arindam Ranganathan,1984-04-05,Female,,01  Uttaradimuttrd nrnationalcllge  Basavanagudi    Ernakulam  682041  Kerala,,"01, Uttaradimuttrd,nrnationalcllge, Basavanagudi,   Ernakulam, 682041, Kerala",AQHWR2019D,0,0,0,,7845424145,,Indian,,,1984,37
7,NCRB,,Anaand Singh,Lakhan,Saraj,Leena Singh,1996-02-21,Male,,1st Floor  18 A  Patel Shoping Center  Jagat Puri  Delhi  110051  Delhi,,"1st Floor, 18 A, Patel Shopping Center, Jagat Puri, Delhi, 110051, Delhi",DEHPJ5584L,0,0,0,,0,,Indian,,,1996,25
8,NCRB,,Nilam Mane,Ramesh Kadam,Rama Kadam,Nilesh,1985-09-23,Female,,Flat No  186  Rajyog Building  Girgaon  Mumbai 400004  Maharashtra,,"Flat No. 186, Rajyog Building, Girgaon, Mumbai 400004, Maharashtra",0,113114115126,J1439542,0,,0,,Indian,,,1985,36
9,NCRB,,Pandu Heravdakar,,,,1998-03-13,Male,,Flat No  10  Madhuban Society  Ujjain   456010,,"Flat No. 10, Madhuban Society, Ujjain - 456010",0,0,0,0,,0,,Indian,,,1998,23
10,NCRB,,Peeyush Nijasure,,,,1970-10-25,Male,,30  Suvarna Apartment  Vashi  Mumbai   400111,,"30, Suvarna Apartment, Vashi, Mumbai - 400111",0,0,0,0,,0,,,,,1970,51
11,NCRB,,Pranav Marwah,Himmat,Sejal,,1981-08-31,Male,,74  Safex Centre  Poona Street  Masjid Bunder  Mumbai   400009,,"74, Safex Centre, Poona Street, Masjid Bunder, Mumbai - 400009",0,0,J2143657,0,,2223701653,Pranav@gmail.com,Indian,,,1981,40
