Sr._No.,KYC_Attributes,Surname,Name,Father_Name,Mother_Name,Spouse_Name,Date_of_Birth,Gender,Blood_Group,Home_Address,Office_Address,Communication_Address,PAN_no,Aadhar_no,Passport_no,BankAcDetails,CreditCard,Mobile_No,Email_Id,Nationality,Voter_Card_ID,DL,year_of_Birth,Age
1,Pan,,Raamcharan Yadav,Gopaldas Yadav,Sundari Devi Yadav,Meenakshi Yadav,1978-11-21,Male,,House No  10  Narayana Nagar  Gaziyabad   110093 Uttar Pradesh,,"House No. 10, Narayana Nagar, Gaziyabad - 110093 UP",ABCDE1234F,123456789101,0,0,,0,,Indian,,,1978,43
2,Pan,,Sheetal Garade,Sudhri Garade,Sumati Garade,Vishal More,1981-04-10,Female,,Flat No  181  Arvind Apartment  Pimple Gurav  Pune   411005 Maharashtra,,"Flat No. 181, Arvind Apartment, Pimple Gurav, Pune - 411005",ACEGI14321K,101998754321,0,0,,0,,Indian,,,1981,40
3,Pan,,Bhushan Jadhav,Gangadhar Jadhav,Subhadra Jadhav,Ashwini Jadhav,1976-12-20,Male,,177  Rajas Society  Katraj  Pune   411046 Maharashtra,,"177, Rajas Society, Katraj, Pune - 411046",AEMPJ5584L,937257034246,0,0,,0,,Indian,,,1976,45
4,Pan,,Ramadugula Sita Mahalakshmi,Kakaraparthy Sreeram Murthy,Kakaraparthy Tripura Sundari,Ramadugula Venkat Surya,1959-09-23,Female,,H  No  1 6 212/64/22  West Parsigutta  Hyderabad 500020 Andhra Pradesh,,"H. No. 1-6-212/64/22, West Parsigutta, Hyderabad 500020 AP",ABCDE4321F,102030405060,0,0,,0,,Indian,,,1959,62
5,Pan,,Dinesh Yadav,Ram Yadav,Seeta Yadav,Vinesh Yadav,1990-09-21,Male,,House No  25  Neelaya Society  Auto Market  Hisar   125001 Haryana,,"House No. 25, Neelaya Society, Auto Market, Hisar - 125001 Haryana",APCPB6666G,605040302010,0,0,,0,,Indian,,,1990,31
6,Pan,,Ramcharan Yadav,Gopal Yadav,Sundari Yadav,Lakshmi Yadav,1977-11-22,Male,,House No  101  Subhash Nagar  Gaziyabad   110090 Uttar Pradesh,,"House No. 101, Subhash Nagar, Gaziyabad - 110090 Uttar Pradesh",ABCDE4285F,253035455565,0,0,,0,,Indian,,,1977,44
7,Pan,,Sheetal Garade,Subhash Garade,Sukanya Garade,Aniket More,1981-05-10,Female,,Flat No  181  Komal Apartment  Kasba Peth  Pune   411006 Maharashtra,,"Flat No. 181, Komal Apartment, Kasba Peth, Pune - 411006 Maharashtra",ACEGI5555K,303540455060,0,0,,0,,Indian,,,1981,40
8,Pan,,Bhushan Jadhav,Gangadhar Jadhav,Parvati Jadhav,Ashwini Jadhav,1978-12-20,Male,,Flat No  177  Rajas Society  Mulund  Mumbai   410026 Maharashtra,,"Flat No. 177, Rajas Society, Mulund, Mumbai - 410026 Maharashtra",AEMPJ5556L,313233343536,0,0,,0,,Indian,,,1978,43
9,Pan,,Ramadugula Seeta Mahalakshmi,Sreeram Murthy,Tripura Sundari,Ramadugula Suryakumar,1980-09-23,Female,,H  No  16/22  East Parsigutta  Hyderabad 500021 Andhra Pradesh,,"H. No. 16/22, East Parsigutta, Hyderabad 500021 Andhra Pradesh",ABCDE4444F,373839404142,0,0,,0,,Indian,,,1980,41
10,Pan,,Dinesh Yadav,Ramnivas Yadav,Bhanwari Devi Yadav,,1985-10-21,Male,,Flat No  25  Hisar Colony  Sadar Market  Hisar   125003 Haryana,,"Flat No. 25, Hisar Colony, Sadar Market, Hisar - 125003 Haryana",APCPB4546G,434445464748,0,0,,0,,Indian,,,1985,36
