Sr._No.,KYC_Attributes,Surname,Name,Father_Name,Mother_Name,Spouse_Name,Date_of_Birth,Gender,Blood_Group,Home_Address,Office_Address,Communication_Address,PAN_no,Aadhar_no,Passport_no,BankAcDetails,CreditCard,Mobile_No,Email_Id,Nationality,Voter_Card_ID,DL,year_of_Birth,Age
1,Passport,Yadav,Ramcharan,Gopaldas Yadav,Sundari Devi Yadav,Meenakshi Yadav,1978-11-21,Male,AB+,House No  10  Narayana Nagar  Gaziyabad   110093 Uttar Pradesh,,"House No. 10, Rajas Society, Katraj, Pune - 411046 Maharashtra",ABCDE1234F,123456789101,J1234567,0,,0,,Indian,,,1978,43
2,Passport,Garade,Sheetal,Sudhri Garade,Sumati Garade,Vishal More,1981-04-10,Female,B+,Flat No  181  Arvind Apartment  Pimple Gurav  Pune   411005 Maharashtra,,"House No. 11, Nageshwar Society, Sahakarnagar, Pune - 411009 Maharashtra",ACEGI14321K,101998754321,J7654321,0,,9810000000,sheetal@gmail.com,Indian,,,1981,40
3,Passport,Jadhav,Bhushan,Gangadhar Jadhav,Subhadra Jadhav,Ashwini Jadhav,1976-12-20,Male,AB+,177  Rajas Society  Katraj  Pune   411046 Maharashtra,,"131/B, Mauli Niwas, Kasba Peth, Pune - 411011 Maharashtra",AEMPJ5584L,937257034246,A1234567,0,,9850068581,bhushanj@cdac.in,Indian,,,1976,45
4,Passport,Ramadugula,Sita Mahalakshmi,Kakaraparthy Sreeram Murthy,Kakaraparthy Tripura Sundari,Ramadugula Venkat Surya,1959-09-23,Female,,H  No  1 6 212/64/22  West Parsigutta  Hyderabad 500020 Andhra Pradesh,,"H. No. 10/15/20, Allipur, 502310 Andhra Pradesh",ABCDE4321F,102030405060,J8369854,0,,0,,Indian,,,1959,62
5,Passport,Yadav,Dinesh,Ram Yadav,Seeta Yadav,Vinesh Yadav,1990-09-21,Male,A-,House No  25  Neelaya Society  Auto Market  Hisar   125001 Haryana,,"Flat No. 60, Maharshi Nagar, Gurgaon - 122006 Haryana",APCPB6666G,605040302010,J4589638,0,,9370707070,dineshy@gmail.com,Indian,,,1990,31
6,Passport,Muzumdar,Sayana,Harish,Harshita,Aniket,1998-02-21,Female,B+,Flat No  104  Suvarnashilp  Apartment  Bandra  Mumbai   400113 Maharashtra,,"Flat No. 104, Suvarnashilp  Apartment, Bandra, Mumbai - 400113 Maharashtra",JPMEA8455L,222324252627,J2223241,0,,9811111111,Sayana@gmail.com,Indian,,,1998,23
7,Passport,Vaknis,Rishu,Anshul,Bhargavi,Manish,1980-07-18,Female,AB+,House No  3  Rajas Society  Katraj  Pune   411046  Maharashtra,,"House No. 3, Rajas Society, Katraj, Pune - 411046, Maharashtra",AJAKH1243B,191918181717,J1212123,0,,0,Rishu@gmail.com,Indian,,,1980,41
8,Passport,Heravdakar,Pandu,Sopan,Parvati,Poonam,1985-03-13,Male,O+,House No  75  Mahakaleshwar Society  Ujjain   456006  Madhya Pradesh,,"House No. 75, Mahakaleshwar Society, Ujjain - 456006, Madhya Pradesh",ABCPB3336G,202021212222,J1432532,0,,0,Pandu@gmail.com,Indian,,,1985,36
9,Passport,Marwah,Pranav,Himmat,Sejal,Pankaja,1981-08-31,Male,A+,74 /  Safex Centre  Poona Street  Masjid Bunder (east)  Mumbai   400009  Maharashtra,,"74 /, Safex Centre, Poona Street, Masjid Bunder (east), Mumbai - 400009, Maharashtra",AGAGC1234A,181920212223,J2143657,0,,2223701653,Pranav@gmail.com,Indian,,,1981,40
10,Passport,Punja,Sooraj,Aditya,Purva,Sunayna,1979-01-26,Male,B+,Crossing  Nazirabad  Kaiserbagh   Lucknow   226012  Uttar Pradesh,,"Crossing, Nazirabad, Kaiserbagh,  Lucknow - 226012, Uttar Pradesh",ACACG5287F,321569857412,J9876543,0,,5222227320,Sooraj@gmail.com,Indian,,,1979,42
