Sr._No.,KYC_Attributes,Surname,Name,Father_Name,Mother_Name,Spouse_Name,Date_of_Birth,Gender,Blood_Group,Home_Address,Office_Address,Communication_Address,PAN_no,Aadhar_no,Passport_no,BankAcDetails,CreditCard,Mobile_No,Email_Id,Nationality,Voter_Card_ID,DL,year_of_Birth,Age
1,Telecom,,Aaloak Sunder,Birendra  Sunder,Kirti Sunder,,1980-11-21,Male,,19  Hrishikesh Society  RadhaPur  Patna    800001  Bihar,,"19, Hrishikesh Society, RadhaPor, Patna  - 800001, Bihar",0,0,J4213565,0,,9800000041,,Indian,,,1980,41
2,Telecom,,Aarav Basak,,Sharvari Basak,,1991-09-05,Male,,97  Radhika Nager  Bikaner   349205  Rajasthan,,"97, Radhika Nagar, Bikaner - 349205, Rajasthan",0,0,0,0,,9825232119,,Indian,,,1991,30
3,Telecom,,Abhay Agarwal,Prateek Agarwal,Nilima Agarwal,Abhaya Agarwal,1979-08-28,Male,,Abids  Tilak Road  Kirti Nagar  Delhi  110015  Delhi,,"Abids, Tilak Road, Kirti Nagar, Delhi, 110015, Delhi",0,0,0,0,,1124755216,,Indian,,,1979,42
4,Telecom,,Alisha Jai Purohit,Jai Patnaik,Aruna Patnaik,Ankit Purohit,1982-10-02,Female,,Sai Vandan Apt Nr Lokmanya Bus Depot  Welcome  Delhi  110053  Delhi,,"Sai Vandan Apt Nr Lokmanya Bus Depot, Welcome, Delhi, 110053, Delhi",0,201022445060,0,0,,9865742123,,Indian,,,1982,39
5,Telecom,,Amar Gurnani,Ajay,,,1984-07-15,Male,,GS Rd  Ganeshguri Chariali  Nr Beekay Tower   Shilchar   788001  Assam,,"GS Rd, Ganeshguri Chariali, Nr Beekay Tower,  Shilchar - 788001, Assam",ARARE1024G,989796995394,0,0,,2415121314,,Indian,,,1984,37
6,Telecom,,Amrita Ranganathan,,Lakshmi Iyer,Arindam Ranganathan,1984-03-05,Female,,16  Uttaradimuttrd nrnationalcllge  Basavanagudi   Alappuzha 690513  Kerala,,"16, Uttaradimuttrd,nrnationalcllge, Basavanagudi,  Alappuzha 690513, Kerala",ALHWR1845Q,689091929395,0,0,,0,,Indian,,,1984,37
7,Telecom,,Anand Singh,,Saroj,Gita Singh,1996-02-07,Male,,1st Floor  18 A  Patel Shopping Center  Janakpuri East  Delhi  110058  Delhi,,"1st Floor, 18 A, Patel Shopping Center, Janakpuri East, Delhi, 110058, Delhi",PQHPJ5084L,0,0,0,,4547621042,,Indian,,,1996,25
8,Telecom,,Malti M Brahmbhatt,Mahesh Gulati,Prerna Gulati,Mangal Brahmbhatt,1990-04-13,Female,,27  Anand Apartments  M S Road  Wagle Estate  Bangalore  560001  Karnataka,,"27, Anand Apartments, M S Road, Wagle Estate, Bangalore, 560001, Karnataka",AQYLT9785B,956741237890,0,0,,99000 00020,,Indian,,,1990,31
9,Telecom,,M K Patel,Kamal Kher,Rahi Kher,Mangesh Patel,1990-07-21,Female,,177  Anand Apartments   Coimbatore  641029  Tamil Nadu,,"177, Anand Apartments,  Coimbatore, 641029, Tamil Nadu",AMNKP5060L,633444155533,0,0,,9800098001,,,,,1990,31
10,Telecom,,Manoj A Singh,Arjuna,,,1990-10-25,Male,,21  Anand Indl Estate  M S Road  Wagle Estate  Thane(w)  Mumbai  400604  Maharashtra,,"21, Anand Indl Estate, M S Road, Wagle Estate, Thane(w), Mumbai, 400604, Maharashtra",0,227711334455,0,0,,9890111198,,Indian,,,1990,31
11,Telecom,,Mohandas Bhatia,,,,1978-12-20,,,521  Arneja Corner Gallery  Vashi   Mumbai 400705,,"521, Arneja Corner Gallery, Vashi - Mumbai 400705",0,0,0,0,,2255912118,,,,,1978,43
12,Telecom,,Mustafa Narang,Narsingh,Parvati,Pranjal Narang,1979-09-07,Male,,67/69  Atharva Apartments  Airoli Sector 2  Airoli  Mumbai 400708  Maharashtra,,"67/69, Atharva Apartments, Airoli Sector 2, Airoli, Mumbai 400708, Maharashtra",TRPNJ7743V,898887867584,0,0,,2221151394,,Indian,,,1979,42
13,Telecom,,Naval Dave,,,,1990-11-21,Male,,810  Ranjana Niwas  Katraj  Pune 411046  Maharashtra,,"810, Ranjana Niwas, Katraj, Pune 411046, Maharashtra",0,111213141566,0,0,,9890989098,,Indian,,,1990,31
14,Telecom,,Navami Pandey,,,,1991-09-21,Female,,18  1st Floor  Esplanade East  Kolkata  700069  WB,,"18, 1st Floor, Esplanade East, Kolkata, 700069, WB",0,201030405061,0,0,,3322482575,,Indian,,,1991,30
15,Telecom,,Nilam Mane,,,,1980-09-23,Female,,House No  145  Desai Road  Girgaon  Mumbai 400004  Maharashtra,,"House No. 145, Desai Road, Girgaon, Mumbai 400004, Maharashtra",0,113114115125,0,0,,0,,Indian,,,1980,41
16,Telecom,,Pandu Heravdakar,,,,1985-03-13,Male,,75  Mahakaleshwar Society  Ujjain   456006,,"75, Mahakaleshwar Society, Ujjain - 456006",0,202021212222,0,0,,0,,Indian,,,1985,36
17,Telecom,,Peeyush Nijasure,,,,1975-10-25,Male,,11  Prathamesh Bldg  KK Menon Road  New Friends Colony  Delhi 110060  Delhi,,"11, Prathamesh Bldg, KK Menon Road, New Friends Colony, Delhi 110060, Delhi",0,212223242555,0,0,,0,,,,,1975,46
18,Telecom,,Pranav Marwah,,,,1981-08-31,Male,,701 Jupiter Bldg  Hiranandani(c)  Andheri (west) Mumbai 400053  Maharashtra,,"701 Jupiter Bldg, Hiranandani(c), Andheri (west) Mumbai 400053, Maharashtra",0,0,0,0,,0,,Indian,,,1981,40
19,Telecom,,Prasad Dani,,,,1995-04-19,Male,,Flat No  25  Aniket Apartment  Ahmedabad  380015  Gujarat,,"Flat No. 25, Aniket Apartment, Ahmedabad, 380015, Gujarat",0,227112334455,0,0,,9234592345,,Indian,,,1995,26
20,Telecom,,Prasanna Ravel,,,,1990-04-09,Male,,39  Nitika Villas  Dadar Chennai   149650  Tamil Nadu,,"39, Nitika Villas, Dadar Chennai - 149650, Tamil Nadu",0,899998878686,0,0,,9898998989,,Indian,,,1990,31
21,Telecom,,Devika,Aditya Mayadev,Manasa Mayadev,,1985-03-13,Female,,240(271)  Llods Road  Royapettah  Chennai  600014  Tamil Nadu,,"240(271), Llods Road, Royapettah, Chennai, 600014, Tamil Nadu",0,0,0,0,6545546525365230.0,2428130549,,Indian,,,1985,36
22,Telecom,,Devika Amrit PreshitaMathai,Amrit Sheth,Preshita Sheth,,1981-08-29,Female,,49  Nayan Nagar  Shilchar  788001  Assam,,"49, Nayan Nagar, Shilchar -788001, Assam",0,0,0,0,,0,,Indian,,,1981,40
23,Telecom,,Devika Sawhney,,Kavita Balan,Deven Sawhney,1983-07-15,Female,,20  9 Main  Jayanagar  Jaipur   302001  Rajasthan,,"20, 9 Main, Jayanagar, Jaipur - 302001, Rajasthan",EDLGC1231A,556644318745,0,0,,0,,Indian,,,1983,38
24,Telecom,,Dinesh Akhilesh Toor,Akhilesh Toor,Sonali Toor,Dipshikha Toor,1979-05-23,Male,,Wp 489  Shiv Market  Gala No 9 Davale Nagar  Jekegram  Vasai east  401208  Maharashtra,,"Wp 489, Shiv Market, Gala No.9 Davale Nagar, Jekegram, Vasai east, 401208, Maharashtra",GPGSK4321K,605000132011,0,0,,0,,Indian,,,1979,42
25,Telecom,,Anees Chokshi,,Kanak,,1991-10-25,Male,,A 3/15  Asaaf Ali Road  Siliguri  734001  West Bengal,,"A-3/15, Asaaf Ali Road, Siliguri, 734001, West Bengal",0,605040302014,0,0,,0,,Indian,,,1991,30
26,Telecom,,A D Pandey,Dhanraj Malviya,Asmita Malviya,,1981-07-18,Female,,B 18  Vinco Chem  Ind  Estate  Paanchal Road  Chennai  600014  Tamil Nadu,,"B-18, Vinco Chem. Ind. Estate, Panchal Road, Chennai, 600014, Tamil Nadu",0,0,0,0,,0,,Indian,,,1981,40
