Sr._No.,KYC_Attributes,Surname,Name,Father_Name,Mother_Name,Spouse_Name,Date_of_Birth,Gender,Blood_Group,Home_Address,Office_Address,Communication_Address,PAN_no,Aadhar_no,Passport_no,BankAcDetails,CreditCard,Mobile_No,Email_Id,Nationality,Voter_Card_ID,DL,year_of_Birth,Age
1,Voter ID Card,,Indira Dvivedi,Gagan Dvivedi,Lavanya Dvivedi,,1980-07-18,Female,,F 151  Main Road  Near Ambedkar Gate  Jagat Purri  Shadipur  110028  Delhi,,"F-151, Main Road, Near Ambedkar Gate, Jagat Purri, Shadipur, 110028, Delhi",0,0,0,0,,0,,Indian,,,1980,41
2,Voter ID Card,,Indrani ,Ranjit Sanyal,Chambeli Sanyal,,1998-02-21,Female,,15/16mgrdrdblr 1  Mg Road  Kochi Ernakulam 682016 Kerala,,"15/16mgrdrdblr-1, Mg Road, Kochi-Ernakulam-682016,Kerala",0,737711445522,0,0,,0,,Indian,,,1998,23
3,Voter ID Card,,Rakhi Yadav,,,,1987-08-23,Female,,Flat No  65  Maruti Apartment  Kaiserbagh   Lucknow   226013  Uttar Pradesh,,"Flat No. 15, Maruti Apartment, Kaiserbagh,  Lucknow - 226013, Uttar Pradesh",0,117722554441,0,0,,0,,Indian,UP10011223332,,1987,34
4,Voter ID Card,,Inika Hora,Aditya Sawhney,Riya Sawhney,,1976-12-21,Female,,88  Hinjewadi  Bharuch   392001  Gujarat,,"88, Hinjewadi, Bharuch - 392001, Gujarat",0,557666442233,0,0,,0,,Indian,YYU2044576,,1976,45
5,Voter ID Card,,Iqbal Mistry,Anis,Raziya Mistry,,1977-12-20,Male,,1 7 659/26/1  Opp luna High School  Raopura  Ghaziabad 110093 UttarPradesh,,"1-7-659/26/1, Opp.luna High School, Raopura, Ghaziabad-110093-UttarPradesh",0,0,0,0,,0,,Indian,YYU2044329,,1977,44
6,Voter ID Card,,Ishaan Bora,Shiv Bora,Disha Bora,,1980-01-22,Male,,A 5  578  Jitendra Jame  J J Road  Hassan 573201  Karnataka,,"A-5, 578, Jitendra Jame, J J Road, Hassan 573201, Karnataka",0,0,0,0,,0,,Indian,,,1980,41
7,Voter ID Card,,Gola Jaswant ,Kuljeet,Navjot,,1981-07-18,Male,,62 &63  Cp Ramasamy Road  Alwarpet  Alwar 301001 Rajasthan,,"62 &63, Cp Ramasamy Road, Alwarpet, Alwar,301001,Rajasthan",0,0,0,0,,0,,Indian,HTS4920567,,1981,40
8,Voter ID Card,,Javed Bahri,Iqbal,Zareen,,1981-08-31,Male,,4  Jeevanprem  Panchpakhadi  Lalitpur 284403 Uttarpradesh,,"4, Jeevanprem, Panchpakhadi, Lalitpur,284403,Uttarpradesh",0,0,0,0,,0,,Indian,YYU2662472,,1981,40
9,Voter ID Card,,Jayendra Lad,Karthik Lad,Darika Lad,,1979-11-21,Male,,701 Jupiter Bldg  Hiranandani(c)  A 4th Cross Lane  BARC S O  Mumbai 400085  Maharashtra,,"701 Jupiter Bldg, Hiranandani(c), A 4th Cross Lane, BARC S.O, Mumbai 400085, Maharashtra",0,0,0,0,,0,,Indian,YYU2662427,,1979,42
10,Voter ID Card,,Jayesh Dyal,Vighnesh Dyal,Dipti Dyal,Jaya Dyal,1987-08-31,Male,,Flat No 304 3rd Floor St No 10  D V Arcade Main Road  Lucknow 226024 Uttarpradesh,,"Flat No 304 3rd Floor St No 10, D V Arcade Main Road, Lucknow-226024,Uttarpradesh",0,0,0,0,,0,,Indian,INZ0027985,,1987,34
